,经济,流动性,CPI,PPI,信用
2013-01-31,0.028916422822788813,0.07833328091859981,0.030025680353706775,0.03230735544582108,0.029435144009402895
2013-02-28,0.01090668592100871,0.09010671533127818,0.03403831512800643,0.01658192836182561,0.017701641472345046
2013-03-29,0.009474561990536425,0.06031672592329522,0.019193476872062788,0.00803884007298534,0.022091016729119308
2013-04-26,0.0009540038639424198,0.0707706193783476,0.0229135118813842,0.009292209380733081,0.006525535820666279
2013-05-31,0.033856140781923914,0.06945695112535898,0.01334762780698557,0.03229085255823899,0.03267862815119715
2013-06-28,0.03214478009539594,0.1255429800137657,0.028515724979288684,0.02448184289728974,0.060691158427093356
2013-07-31,0.04650401929213944,0.10206018568809447,0.007008369105963882,0.01500693956121491,0.0845730774783061
2013-08-30,0.04470535729198503,0.12009401420908326,0.017867805415331946,0.006991344319758561,0.08326120255766956
2013-09-30,0.05028907238195435,0.1546364176879493,0.03958943829785266,0.013998350539614084,0.07541330443412692
2013-10-31,0.06570719172104597,0.14834332916264306,0.025898453911056524,0.03175394969469352,0.09008790334995205
2013-11-29,0.09171740209289275,0.1737409845864513,0.03892237746130572,0.037737124357380886,0.10648435169310563
2013-12-31,0.08591198893030542,0.16931394427119514,0.036556177654589544,0.05550127052271868,0.11143778325442713
2014-01-30,0.058433178931481665,0.1612602857648364,0.04482723979466489,0.030459299670404394,0.09827187108354168
2014-02-28,0.045688504456453435,0.11362359778617456,0.03352807376515842,0.03027727204559279,0.0637692590501086
2014-03-31,0.04811165969060779,0.1361307327741283,0.04524305935887491,0.03420532914812762,0.06699363807037269
2014-04-30,0.0533582818533619,0.10455821401499385,0.03917824763792429,0.04384158410677349,0.07380456127892109
2014-05-30,0.0385426450664384,0.08541356159956763,0.03941050547622304,0.04823887985272449,0.048165570143928416
2014-06-30,0.030352528994870884,-0.0008500984573758993,0.005197553701381756,0.02312573546422976,0.020697257704323728
2014-07-31,0.023109193288608686,0.06740576555197737,0.021474006705359254,0.00201238835883119,0.02805202319639721
2014-08-29,0.010937468606481543,0.054843018013084416,0.012254946844213238,-0.006139963062890004,-0.003507910402723621
2014-09-30,-0.0028542408602042105,0.04675126173307319,0.010314100478445538,-0.031661078243975835,-0.008985267606302402
2014-10-31,-0.02426226207939848,0.03992733996219604,0.03173635671089739,-0.04143772821567988,-0.06801303473730946
2014-11-28,-0.05049612726299502,-0.01159322295927861,0.021077294653822465,-0.05460002783480719,-0.12199366512782184
2014-12-31,-0.051399335927435896,0.005512005950687497,0.009789833201334058,-0.06812061531633419,-0.12756721881415886
2015-01-30,-0.04413941612993345,-0.004101743811728111,8.349267966589081e-05,-0.0707948386955956,-0.113146891646877
2015-02-27,-0.022399910294632036,0.05178519110704076,0.01627371039851879,-0.059430371515973565,-0.09036878572994303
2015-03-31,0.006455875281042581,0.08088244344145329,0.015328638332669873,-0.08017327630102078,-0.04719781163851783
2015-04-30,0.008405160218759582,0.09269744807434482,0.01574839441259463,-0.11160056681828726,-0.07013930530438467
2015-05-29,0.02065662465029342,0.08472764328410932,0.018167082318152967,-0.1402267793111909,-0.05516371570472299
2015-06-30,0.008167043000242256,0.11595102282334506,0.031028854052120355,-0.11775397606830497,-0.05162804174789552
2015-07-31,-0.014801506490679949,0.10289430652739341,0.04580415338232523,-0.0775871992742564,-0.08334364079397695
